SRR848936	26259191
SRR848937	34271790
SRR848938	12811993
SRR848939	56682710
SRR848940	36120854
SRR848941	16084068
SRR848942	20690877
SRR848943	20218304
SRR848944	26400094
SRR848945	23364400
SRR848946	17632136
SRR848947	50860070
SRR848948	50236581
SRR848949	31094770
SRR848950	17812495
SRR848951	15372508
SRR848952	9919806
SRR848953	29402997
SRR848954	10218744
SRR848955	20185783
SRR848956	13975630
SRR848957	13208209
SRR848958	17602038
SRR848959	17436550
SRR848960	1979521
SRR848961	17186817
SRR848962	11498346
SRR848963	13600969
SRR848964	22489647
SRR848965	26202513
SRR848966	20181786
SRR848967	17011989
SRR848968	17334156
SRR848969	16707997
SRR848970	31773411
SRR848971	27836492
SRR848972	14397483
SRR848973	20251759
SRR848974	20746258
SRR848975	4788857
SRR848976	4304065
SRR848977	35087464
SRR848978	24264022
SRR848979	23436027
SRR848980	26937750
SRR848981	30509339
SRR848982	25835424
SRR848983	27614277
SRR848984	17219395
SRR848985	20752427
SRR848986	2348010
SRR848987	38346959
SRR848988	20408591
SRR848989	17642312
SRR848990	27841965
SRR848991	21649501
SRR848992	17939758
SRR848993	12997885
SRR848994	16738162
