Run	MST	CSE	CBS	CYD	MGL	dsrA	dsrB
SRR848936	56	50	1	10	584	20	12
SRR848937	2	64	57	5	1099	410	345
SRR848938	97	51	28	64	561	148	32
SRR848939	6	170	121	11	2179	109	85
SRR848940	2	59	48	12	819	95	102
SRR848941	112	50	79	0	759	107	16
SRR848942	1	1	6	1	54	17	21
SRR848943	35	7	13	8	654	159	177
SRR848944	1	84	91	34	1759	110	142
SRR848945	3	2	2	1	81	48	23
SRR848946	0	17	22	4	342	206	127
SRR848947	1	12	6	0	177	28	21
SRR848948	75	90	108	100	1189	79	162
SRR848949	1	8	4	12	383	95	93
SRR848950	3	10	5	2	54	43	39
SRR848951	1	9	6	5	203	248	204
SRR848952	1	5	30	2	90	25	5
SRR848953	0	2	13	0	86	58	44
SRR848954	0	6	17	3	244	14	10
SRR848955	1	10	5	0	111	12	6
SRR848956	0	18	34	3	520	108	94
SRR848957	0	9	20	1	236	130	85
SRR848958	3	3	4	5	110	60	41
SRR848959	0	92	733	6	5061	43	65
SRR848960	0	0	10	0	19	4	6
SRR848961	1	7	22	0	110	29	58
SRR848962	0	12	16	2	210	18	11
SRR848963	0	4	2	2	92	31	48
SRR848964	0	88	210	6	2214	125	65
SRR848965	0	12	19	6	286	53	42
SRR848966	1	42	45	10	605	239	154
SRR848967	0	2	11	3	117	47	34
SRR848968	1	14	18	4	417	131	123
SRR848969	0	110	556	2	3586	20	36
SRR848970	1	18	40	9	744	223	211
SRR848971	1	31	16	2	487	94	80
SRR848972	0	19	7	0	241	3	16
SRR848973	4	8	3	4	186	85	80
SRR848974	3	1	0	0	42	0	0
SRR848975	9	1	1	0	28	8	0
SRR848976	0	14	21	6	192	4	4
SRR848977	44	39	10	20	516	276	115
SRR848978	1	1	5	0	95	2	7
SRR848979	0	20	21	1	386	142	108
SRR848980	1	2	1	3	170	18	11
SRR848981	2	4	3	0	130	16	7
SRR848982	0	4	0	0	34	14	6
SRR848983	26	42	48	16	701	10	34
SRR848984	1	6	2	1	308	34	16
SRR848985	5	5	6	3	71	31	35
SRR848986	12	7	23	20	225	2	2
SRR848987	6	12	16	7	435	211	237
SRR848988	7	16	21	2	116	132	189
SRR848989	0	0	0	2	8	0	2
SRR848990	1	10	7	2	61	16	19
SRR848991	5	17	12	9	182	52	54
SRR848992	1	1	5	2	59	23	4
SRR848993	2	0	2	0	24	25	60
SRR848994	1	6	9	2	42	43	41
